TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,Latitude,Longitude,Location
43297,Permitted Site,Prunus cerasifera :: Cherry Plum,1501 Missouri St,1.0,Sidewalk: Curb side : Cutout,37.7501893,-122.3953421,"(37.7501893,-122.3953421)"
36746,Permitted Site,Prunus cerasifera :: Cherry Plum,5555 Woodward St,1.0,Sidewalk: Curb side : Cutout,37.7692243,-122.4209054,"(37.7692243,-122.4209054)"
35167,Permitted Site,Prunus cerasifera :: Cherry Plum,240 Walter St,1.0,Sidewalk: Curb side : Cutout,37.7683031,-122.4323963,"(37.7683031,-122.4323963)"
217887,DPW Maintained,Prunus cerasifera :: Cherry Plum,226 Edgewood Ave,4.0,Sidewalk: Curb side : Cutout,37.7618952166023,-122.454898329094,"(37.7618952166023, -122.454898329094)"
196253,DPW Maintained,Prunus cerasifera :: Cherry Plum,18 Langton St,6.0,Sidewalk: Curb side : Cutout,37.7772125587353,-122.409566699146,"(37.7772125587353, -122.409566699146)"
18905,DPW Maintained,Prunus domestica 'Mariposa' :: Mariposa Plum,2602 Sacramento St,1.0,Sidewalk: Curb side : Cutout,37.789657253131,-122.435946744753,"(37.789657253131, -122.435946744753)"
236974,DPW Maintained,Prunus cerasifera :: Cherry Plum,42 Elsie St,1.0,Sidewalk: Curb side : Cutout,37.7440080266631,-122.41697306675,"(37.7440080266631, -122.41697306675)"
214342,DPW Maintained,Prunus domestica 'Mariposa' :: Mariposa Plum,331 Lakeview Ave,1.0,Sidewalk: Curb side : Cutout,37.71758941898939,-122.45320830242596,"(37.71758941898939, -122.45320830242595)"
212725,Permitted Site,Prunus cerasifera :: Cherry Plum,1250 11th Ave,1.0,Sidewalk: Curb side : Cutout,37.76487592331486,-122.4684412332916,"(37.76487592331486, -122.46844123329159)"
236985,DPW Maintained,Prunus cerasifera :: Cherry Plum,199x Santa Marina St,2.0,Sidewalk: Curb side : Cutout,37.73948449800708,-122.41983803101688,"(37.73948449800708, -122.41983803101688)"
121991,DPW Maintained,Prunus blireiana :: Flowering Plum,552 15th Ave,1.0,Sidewalk: Curb side : Cutout,37.777644532477126,-122.4736769010256,"(37.777644532477126, -122.47367690102561)"
217943,DPW Maintained,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,346 Kirkham St,1.0,Sidewalk: Curb side : Cutout,37.76045271303961,-122.46472448905328,"(37.76045271303961, -122.46472448905327)"
236986,DPW Maintained,Prunus cerasifera :: Cherry Plum,199x Santa Marina St,1.0,Sidewalk: Curb side : Cutout,37.73948449800708,-122.41983803101688,"(37.73948449800708, -122.41983803101688)"
265626,DPW Maintained,Prunus cerasifera :: Cherry Plum,2628 19th St,1.0,Sidewalk: Curb side : Cutout,37.7606985956529,-122.40887136437225,"(37.7606985956529, -122.40887136437223)"
73430,DPW Maintained,Prunus cerasifera :: Cherry Plum,657 Broderick St,1.0,Sidewalk: Curb side : Cutout,37.77647058365104,-122.4398820128579,"(37.77647058365104, -122.4398820128579)"
37181,DPW Maintained,Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,2519 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,37.79294209165182,-122.4374914535677,"(37.79294209165182, -122.4374914535677)"
237760,DPW Maintained,Prunus cerasifera :: Cherry Plum,349 Corbett Ave,2.0,Sidewalk: Curb side : Cutout,37.75982689822494,-122.4452417102587,"(37.75982689822494, -122.4452417102587)"
237761,DPW Maintained,Prunus cerasifera :: Cherry Plum,349 Corbett Ave,1.0,Sidewalk: Curb side : Cutout,37.75984422903967,-122.44520030275837,"(37.75984422903967, -122.44520030275837)"
236971,DPW Maintained,Prunus cerasifera :: Cherry Plum,102X Prospect Ave,1.0,Sidewalk: Curb side : Cutout,37.74298947457362,-122.41900152726852,"(37.74298947457362, -122.41900152726852)"
236970,DPW Maintained,Prunus cerasifera :: Cherry Plum,100x Prospect Ave,1.0,Sidewalk: Curb side : Cutout,37.74298947457362,-122.41900152726852,"(37.74298947457362, -122.41900152726852)"
235772,Permitted Site,Prunus cerasifera :: Cherry Plum,1821 15th St,2.0,Sidewalk: Curb side : Cutout,37.76631748078738,-122.4247948923942,"(37.76631748078738, -122.42479489239419)"
235771,Permitted Site,Prunus cerasifera :: Cherry Plum,1821 15th St,1.0,Sidewalk: Curb side : Cutout,37.76631413981637,-122.42487940977097,"(37.76631413981637, -122.42487940977095)"
265773,DPW Maintained,Prunus cerasifera :: Cherry Plum,680 Hampshire St,2.0,Sidewalk: Curb side : Cutout,37.76079121770123,-122.40824056272602,"(37.76079121770123, -122.40824056272602)"
